generic_name;cns_drug;smiles
Acamprosate;TRUE;CC(=O)NCCCS(O)(=O)=O
Acetaminophen;TRUE;CC(=O)NC1=CC=C(O)C=C1
Alfentanil;TRUE;CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O
Almotriptan;TRUE;CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2
Alprazolam;TRUE;CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
Amantadine;TRUE;NC12CC3CC(CC(C3)C1)C2
Ambenonium;TRUE;CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl
Amitriptyline;TRUE;CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
Amoxapine;TRUE;ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
Amphetamine;TRUE;CC(N)CC1=CC=CC=C1
Apomorphine;TRUE;[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23
Aprepitant;TRUE;C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
Aripiprazole;TRUE;ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl
Asenapine;TRUE;OC(=O)\C=C/C(O)=O.CN1CC2C(C1)C1=C(OC3=CC=CC=C23)C=CC(Cl)=C1
Atomoxetine;TRUE;CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1
Baclofen;TRUE;NCC(CC(O)=O)C1=CC=C(Cl)C=C1
Benzatropine;TRUE;[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
Bromocriptine;TRUE;[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C
Buprenorphine;TRUE;CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4
Bupropion;TRUE;CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
